Determiner,Agreement,Possessor Features,Number,Speaker,Sentence,Origin,BirthYear,Gender,Race
mo gran-papa,No,1sg,sg,MP,"To wa motchenn--- nou tou <DET>ma fanmiy</DET> èksèpte <DET>mo gran-papa</DET>, <DET>mo gran-papa</DET> sòrti dan NEWFOUNDLAND.",Jarreau,1931,Female,White
mo GRANDMA,No,1sg,sg,MP,"E <DET>mo GRANDMA</DET>, <DET>ma gran-mær</DET>, li li te pa foutu pale langle.",Jarreau,1931,Female,White
nouzòtchèn JOKE,No,1pl,sg,MP,Sa se <DET>nouzòtchèn JOKE</DET>.,Jarreau,1931,Female,White
sotchenn fanmiy,No,3sg,sg,MP,"To wa <DET>sotchenn fanmiy</DET>, e lezòt, <DET>nouzòt kouzen</DET>, ki sòr, uh, <DET>mo gran-pær</DET>, uh, kote, ye ye pa rèste isit.",Jarreau,1931,Female,White
motchenn gran-pær,No,1sg,sg,MP,"Èna œnn ki kouri Alegzandri œnn kouri dan PLAQUEMINE, e <DET>motchenn gran-pær</DET> vini isit.",Jarreau,1931,Female,White
nouzòt gran-mær,No,1pl,sg,MP,"Se zus nouzòtchenn paskeu OF COURSE <DET>nouzòt gran-mær</DET>, e nou te tou franse, sa-fe, e nouzòt nou toujou reste isit.",Jarreau,1931,Female,White
ma gran-mær,Yes,1sg,sg,MP,"E ye ye se vini, kan nouzòt nou te tou piti, ye se vini kote <DET>ma gran-mær</DET> e <DET>mon gran-pær</DET>.",Jarreau,1931,Female,White
mon gran-pær,Yes,1sg,sg,MP,"E ye ye se vini, kan nouzòt nou te tou piti, ye se vini kote <DET>ma gran-mær</DET> e <DET>mon gran-pær</DET>.",Jarreau,1931,Female,White
se piti,Yes,3sg,pl,MP,"O wè nou tou, o wè <DET>se piti</DET>, <DET>se sœr e frè</DET>, tou <DET>nouzòt sœr</DET> e <DET>nouzòt frè-ye</DET>, nou tou <VERB>parl</VERB> kreyòl.",Jarreau,1931,Female,White
metchenn sœr,Yes,1sg,pl,MP,"Se motchenn, ply jœnn dan <DET>metchenn sœr</DET>, mo <VERB>krwa</VERB> li senkant-e-œnn, se senkant-œnn ou senkant-deu.",Jarreau,1931,Female,White
sotchenn fanmiy,No,3sg,sg,MP,"E mo <VERB>krwa</VERB> plu jœnn dan <DET>sotchenn fanmiy</DET>, li <VERB>deut</VERB> apeupre karant-set ou karant-uit.",Jarreau,1931,Female,White
me frær,Yes,1sg,pl,MP,"Mo pèd œnn deu <DET>me frær</DET>, mo <VERB>gen</VERB> zus deu ki <VERB>rès</VERB>.",Jarreau,1931,Female,White
se piti,Yes,3sg,pl,MP,"E li li pèrd en frær, anden en, en en en rek, e li, œnn deu <DET>se piti</DET>, <DET>so plu jœ̀n piti</DET>, i te gen vent-siz an--- vent-katr an.",Jarreau,1931,Female,White
so frær,No,3sg,sg,MP,"E la <DET>so frær</DET>, kèkœnn frape li dan Baton Rouj, i te den en JEEP, li te pa gen--- to konnen en JEEP se zus lenj, se pa, STEEL.",Jarreau,1931,Female,White
so piti,No,3sg,sg,MP,"Li li viv en ti mòman, so <DET>so piti</DET> ète tue, uhm, INSTANTLY.",Jarreau,1931,Female,White
so kou,No,3sg,sg,MP,Li kase <DET>so kou</DET>.,Jarreau,1931,Female,White
sotchenn piti,No,3sg,sg,MP,"Li te menm laj, <DET>sotchenn piti</DET> te menm laj ave œnn deu <DET>metchenn gran-piti</DET>.",Jarreau,1931,Female,White
metchenn gran-piti,Yes,1sg,pl,MP,"Li te menm laj, <DET>sotchenn piti</DET> te menm laj ave œnn deu <DET>metchenn gran-piti</DET>.",Jarreau,1931,Female,White
ma maman,Yes,1sg,sg,MP,"(Se) <DET>ma maman</DET> u kansær, li li mouri.",Jarreau,1931,Female,White
mo frær,No,1sg,sg,MP,"Deuz an apre <DET>mo frær</DET> u kansær li li mouri, e <DET>mo papa</DET>, en mwa apre <DET>mo frær</DET> mouri, li tue li-menm.",Jarreau,1931,Female,White
mo papa,No,1sg,sg,MP,"Deuz an apre <DET>mo frær</DET> u kansær li li mouri, e <DET>mo papa</DET>, en mwa apre <DET>mo frær</DET> mouri, li tue li-menm.",Jarreau,1931,Female,White
Sotchenn piti,No,3sg,sg,MP,"<DET>Sotchenn piti</DET> ète tue, enn an apre, e <DET>so frèr</DET> ète tchwe (...) na pròch enn an.",Jarreau,1931,Female,White
so frèr,No,3sg,sg,MP,"<DET>Sotchenn piti</DET> ète tue, enn an apre, e <DET>so frèr</DET> ète tchwe (...) na pròch enn an.",Jarreau,1931,Female,White
